Time,Height
0.000000000000000000e+00 , 0.000000000000000000e+00
7.217442600003363094e-03 , 2.549196997035270695e-01
1.443488520000672619e-02 , 5.093285382854038090e-01
2.165232780001008842e-02 , 7.632265157456301630e-01
2.886977040001345238e-02 , 1.016613632084206076e+00
3.608721300001681287e-02 , 1.269489887301131548e+00
4.330465560002017683e-02 , 1.521855281396407022e+00
5.052209820002354079e-02 , 1.773709814370032056e+00
5.773954080002690475e-02 , 2.025053486222006427e+00
6.495698340003026872e-02 , 2.275886296952331023e+00
7.217442600003362574e-02 , 2.526208246561004511e+00
7.939186860003699664e-02 , 2.776019335048028225e+00
8.660931120004035366e-02 , 3.025319562413401275e+00
9.382675380004372456e-02 , 3.274108928657124551e+00
1.010441964000470816e-01 , 3.522387433779196719e+00
1.082616390000504525e-01 , 3.770155077779619113e+00
1.154790816000538095e-01 , 4.017411860658389955e+00
1.226965242000571665e-01 , 4.264157782415511910e+00
1.299139668000605374e-01 , 4.510392843050983203e+00
1.371314094000639083e-01 , 4.756117042564803832e+00
1.443488520000672515e-01 , 5.001330380956972910e+00
1.515662946000706224e-01 , 5.246032858227493989e+00
1.587837372000739933e-01 , 5.490224474376363517e+00
1.660011798000773642e-01 , 5.733905229403583270e+00
1.732186224000807073e-01 , 5.977075123309151472e+00
1.804360650000840782e-01 , 6.219734156093069899e+00
1.876535076000874491e-01 , 6.461882327755338551e+00
1.948709502000907923e-01 , 6.703519638295956540e+00
2.020883928000941632e-01 , 6.944646087714923866e+00
2.093058354000975341e-01 , 7.185261676012241416e+00
2.165232780001009050e-01 , 7.425366403187908304e+00
2.237407206001042481e-01 , 7.664960269241923640e+00
2.309581632001076190e-01 , 7.904043274174290090e+00
2.381756058001109899e-01 , 8.142615417985005877e+00
2.453930484001143331e-01 , 8.380676700674071000e+00
2.526104910001177317e-01 , 8.618227122241487237e+00
2.598279336001210749e-01 , 8.855266682687251034e+00
2.670453762001244180e-01 , 9.091795382011364168e+00
2.742628188001278167e-01 , 9.327813220213828416e+00
2.814802614001311598e-01 , 9.563320197294642000e+00
2.886977040001345030e-01 , 9.798316313253804921e+00
2.959151466001379016e-01 , 1.003280156809131896e+01
3.031325892001412448e-01 , 1.026677596180718055e+01
3.103500318001445879e-01 , 1.050023949440139148e+01
3.175674744001479866e-01 , 1.073319216587395530e+01
3.247849170001513297e-01 , 1.096563397622486669e+01
3.320023596001547284e-01 , 1.119756492545412918e+01
3.392198022001580715e-01 , 1.142898501356173924e+01
3.464372448001614146e-01 , 1.165989424054769863e+01
3.536546874001648133e-01 , 1.189029260641200914e+01
3.608721300001681564e-01 , 1.212018011115466898e+01
